PD_CD,KY_CD,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,PERP_SEX,PERP_RACE,DIA,MES
397,105,1600500,3,3,20,0,1,2,20,9
101,344,1200001,2,2,77,0,0,6,12,9
101,344,1200001,2,2,60,0,1,4,11,9
782,236,2650101,2,0,52,0,1,2,5,9
729,113,1702500,3,4,101,0,0,4,12,9
511,235,2200300,2,2,66,0,0,6,10,9
515,117,2203901,3,2,73,0,0,2,17,9
478,343,1651503,2,0,40,1,0,2,9,9
511,235,2200300,2,2,78,0,1,5,17,9
507,117,2200603,3,2,79,0,0,3,8,9
101,344,1200001,2,4,113,0,1,2,1,9
441,110,1553008,3,0,52,0,0,2,16,9
268,121,1450502,3,1,121,0,1,5,11,9
115,355,1202000,2,4,108,1,0,5,5,9
849,677,0,1,4,115,1,0,2,5,9
439,109,1553501,3,3,18,0,1,3,1,9
397,105,160102,3,2,70,0,0,2,13,9
478,343,1651503,2,4,103,17,0,5,18,9
748,359,2155003,2,3,33,0,1,2,9,9
339,341,1552500,2,2,63,0,0,2,16,9
101,344,1200001,2,2,60,0,0,4,7,9
209,231,1403500,2,4,109,0,0,5,12,9
101,344,1200001,2,0,45,0,1,3,2,9
793,118,2650201,3,3,32,0,0,2,6,9
779,126,215510,3,2,70,0,0,4,16,9
101,344,1200001,2,2,73,2,1,5,1,9
409,109,1554002,3,2,77,0,1,2,16,9
922,348,511001,2,2,81,0,0,2,18,9
114,344,121110,2,0,47,0,0,2,18,9
115,355,1202000,2,2,71,0,0,2,3,9
511,235,2200300,2,3,33,0,0,5,6,9
101,344,1200001,2,4,109,0,0,6,5,9
109,106,1200502,3,0,48,0,1,2,3,9
503,117,2201601,3,0,40,0,0,5,6,9
259,351,1450001,2,3,25,0,0,5,6,9
175,233,1305201,2,2,72,0,0,5,4,9
478,343,1651503,2,2,73,1,0,2,6,9
397,105,1600500,3,0,47,0,0,2,4,9
109,106,1200502,3,0,49,0,0,2,9,9
681,233,2601001,2,0,40,2,1,2,15,9
101,344,1200001,2,2,83,0,0,5,12,9
490,232,1654000,2,3,9,0,0,5,1,9
268,121,1450502,3,4,109,0,0,3,2,9
106,106,1200503,3,3,6,0,0,2,21,9
397,105,1601001,3,2,69,0,0,2,12,9
101,344,1200001,2,4,115,0,1,3,5,9
478,343,1651503,2,0,40,1,0,2,16,9
478,343,1651503,2,0,41,1,0,3,19,9
922,348,511001,2,2,73,0,0,2,2,9
101,344,1200001,2,0,48,0,0,3,16,9
508,235,2205003,2,4,107,0,0,4,4,9
109,106,1200502,3,3,32,0,1,2,18,9
922,348,511001,2,4,110,0,0,5,18,9
922,348,511001,2,3,23,0,0,0,11,9
478,343,1651503,2,0,47,1,0,2,14,9
339,341,1552500,2,4,106,0,0,2,19,9
113,344,1201401,2,4,105,0,0,2,3,9
439,109,1553004,3,3,30,17,1,5,4,9
729,113,1657300,3,4,112,0,0,6,10,9
101,344,1200001,2,2,75,0,0,2,3,9
748,359,2155006,2,0,43,1,0,5,6,9
439,109,1553001,3,3,5,0,0,3,12,9
269,121,1450501,3,0,42,0,0,5,10,9
748,359,2155003,2,3,5,2,0,2,10,9
510,117,2200601,3,4,103,0,0,2,10,9
101,344,1200001,2,4,103,0,0,5,5,9
268,121,1450502,3,4,113,0,0,2,19,9
478,343,1651503,2,2,79,1,0,2,21,9
478,343,1651503,2,2,73,1,1,2,6,9
101,344,1200001,2,4,114,0,0,5,1,9
748,359,2155002,2,0,40,0,0,5,4,9
114,344,1211100,2,3,30,0,0,5,21,9
510,117,2200601,3,4,104,0,0,2,11,9
511,235,2200300,2,0,40,0,0,2,19,9
244,107,1402000,3,2,90,0,0,2,9,9
792,118,265031,3,2,75,2,1,2,16,9
101,344,1200001,2,0,46,0,1,5,7,9
750,359,2053000,2,3,18,0,0,6,2,9
779,126,215510,3,0,40,0,0,5,4,9
782,236,2650101,2,2,75,0,0,5,1,9
244,107,1402000,3,4,103,0,0,2,2,9
637,578,2402601,1,4,115,1,1,5,8,9
339,341,1552500,2,3,14,0,1,5,6,9
439,109,1553501,3,3,18,0,1,4,12,9
438,109,1553012,3,0,52,0,0,3,23,9
101,344,1200001,2,2,68,0,0,2,9,9
157,104,130351,3,4,112,0,0,2,12,9
113,344,1201500,2,3,6,0,0,3,3,9
244,107,1402000,3,4,109,0,0,5,18,9
478,343,1651503,2,0,47,1,0,5,17,9
101,344,1200001,2,4,113,0,0,2,13,9
339,341,1552500,2,4,110,0,0,5,22,9
339,341,1552500,2,3,5,0,1,4,23,9
639,361,2403001,2,2,77,0,0,2,16,9
244,107,1402000,3,3,13,0,1,2,4,9
439,109,1553001,3,3,18,0,0,2,17,9
681,233,2601001,2,0,41,0,1,3,13,9
101,344,1200001,2,0,41,0,0,5,3,9
510,117,2200601,3,4,103,0,0,2,12,9
478,343,1651503,2,0,40,1,0,2,5,9
265,121,1451200,3,4,107,0,1,2,18,9
397,105,1600500,3,1,120,0,1,4,5,9
639,361,240301,2,4,113,0,1,5,4,9
109,106,1200502,3,1,122,0,1,4,9,9
339,341,1552500,2,2,75,0,0,2,9,9
779,126,215510,3,0,49,0,0,4,13,9
101,344,1200001,2,2,71,0,0,2,14,9
782,236,2650101,2,2,73,1,0,2,7,9
397,105,1601504,3,3,5,0,0,3,9,9
109,106,1200502,3,0,45,0,1,3,9,9
750,359,2053000,2,0,48,0,1,3,1,9
922,348,511001,2,4,110,97,0,5,5,9
922,348,511001,2,2,68,0,0,2,17,9
681,233,2601001,2,4,110,0,0,5,2,9
639,361,2403001,2,0,49,0,0,5,7,9
440,109,1553502,3,3,18,0,0,2,19,9
117,126,1202500,3,0,40,2,0,2,6,9
503,117,2201601,3,2,75,0,0,2,4,9
339,341,1552500,2,3,1,0,0,4,5,9
759,359,1950501,2,3,20,1,0,2,14,9
244,107,1402501,3,0,44,0,0,2,4,9
503,117,2201601,3,0,52,0,0,5,3,9
847,125,5110,3,4,103,0,0,5,23,9
244,107,1402000,3,0,46,0,0,2,13,9
109,106,1200501,3,2,62,0,1,2,19,9
759,359,2052001,2,0,41,72,1,2,5,9
478,343,1651503,2,4,115,1,0,3,7,9
339,341,1552500,2,4,110,0,1,6,5,9
117,126,1202500,3,4,101,0,0,2,2,9
101,344,1200001,2,2,75,0,0,2,3,9
922,348,5110,2,3,32,0,0,4,14,9
503,117,2201601,3,3,6,0,0,2,3,9
510,117,2200601,3,3,23,0,0,2,14,9
268,121,1451000,3,3,9,0,0,2,1,9
779,126,215510,3,2,75,0,0,2,3,9
503,117,2201601,3,0,44,0,0,2,7,9
339,341,1552500,2,3,19,0,1,4,6,9
511,235,2200300,2,4,103,0,0,5,11,9
439,109,1553001,3,0,42,0,0,2,10,9
113,344,1201401,2,0,40,0,0,2,5,9
339,341,1552500,2,2,63,0,0,2,10,9
501,117,2201802,3,2,60,0,1,2,18,9
268,121,1450502,3,4,105,0,0,2,23,9
101,344,1200001,2,3,33,0,0,2,3,9
759,359,1950500,2,2,70,0,0,2,22,9
397,105,160102,3,3,23,2,1,2,18,9
905,347,119202,2,0,40,0,0,3,12,9
397,105,1601503,3,0,40,0,0,2,6,9
397,105,1600500,3,0,40,0,0,3,4,9
707,340,1902300,2,3,13,0,0,2,13,9
779,126,215510,3,4,106,0,0,6,8,9
681,233,2601001,2,0,47,0,0,5,18,9
339,341,1552500,2,4,107,0,0,2,19,9
511,235,2200300,2,3,14,0,0,2,5,9
101,344,1200001,2,0,48,0,1,2,1,9
258,351,1456002,2,2,70,0,1,4,3,9
339,341,1552500,2,3,14,0,0,2,4,9
268,121,1450502,3,0,40,0,0,2,1,9
